Name,Dark1,Light1,Dark2,Light2,Accent1,Accent2,Accent3,Accent4,Accent5,Accent6,Hyperlink,Followed,Category,Favorite,Tags,TimesUsed,LastUsed
Mountain Dew Classic,#000000,#F0FFF0,#142814,#DCFFDC,#00FF00,#39B54A,#007800,#FF0000,#FFFF00,#00C878,#00C800,#780000,Food,FALSE,,0,
Mountain Dew Baja,#0A2828,#EBFFFF,#00505A,#D2F5F5,#00C8B4,#50FFF0,#009696,#FF5A00,#FFDC00,#00FFDC,#00AFA0,#006E6E,Custom,TRUE,,0,
Mountain Dew Code Red,#0A0000,#FFEAEA,#3C0000,#FFD2D2,#FF0000,#C80028,#780014,#FF5000,#FFC800,#78003C,#C80000,#780000,Custom,FALSE,,0,
Mountain Dew Voltage,#000028,#E6F0FF,#000050,#D2DCFF,#0078FF,#32A0FF,#0046AA,#FF0050,#FFC800,#00C8FF,#0078FF,#00468C,Food,TRUE,,0,
Mountain Dew LiveWire,#140A00,#FFF5E6,#3C1E00,#FFE6D2,#FF7800,#FF961E,#C85000,#FFC800,#FFFF00,#FF5A00,#FF7800,#C85000,Custom,FALSE,,0,
Diet Mountain Dew,#0F190F,#F0F5EB,#283728,#AAB9AA,#87D700,#006E32,#DC1E28,#C8D7C8,#C3F03C,#FFFFFF,#00AF78,#5A8264,Custom,FALSE,,0,
Mtn Dew Voltage,#DA5059,#E57FCC,#473ED3,#EFB12F,#CA28E8,#9D78A9,#34472A,#81F363,#1D9B52,#2AAA49,#247604,#3B0398,Custom,FALSE,,0,
Baja Blast Storm,#0538AA,#726C3D,#18A955,#E7DF9E,#B909B4,#037E24,#B2ACF0,#40A704,#E0262D,#960F7D,#491A3B,#031E40,Custom,FALSE,,0,
Coke Ember,#6AE6D4,#E354B5,#B462E6,#361C72,#871947,#43269D,#07BB07,#345F5C,#5AA76A,#9C4222,#A2CA7A,#0A516B,Custom,FALSE,,0,
Cherry Fizz,#C55B2C,#C6A3AE,#9609A1,#77261B,#79DC0F,#91FBDC,#A1D94D,#CF6D7A,#43391E,#2ABE84,#B8E39C,#FBD0B0,Custom,FALSE,,0,
Root Beer Cascade,#312B08,#0B617B,#FCFBEC,#7F9DC2,#4FB3DF,#714A86,#C8D9C1,#0C80AE,#48F241,#493FF8,#180424,#B6F006,Custom,FALSE,,0,
Fanta Burst,#A7824A,#F0918D,#9E5284,#43180A,#84EA90,#CAFF66,#B35C52,#75FB38,#041D2A,#051E43,#853E2B,#9B1227,Custom,FALSE,,0,
Dr Pepper Dusk,#1756CE,#312F45,#68B255,#A3E3FC,#3EBD56,#768745,#FDB132,#EC831D,#D20536,#0F7615,#8B8A94,#5D1C23,Custom,FALSE,,0,
Sprite Lightning,#225D88,#7D1937,#31EC74,#AD010E,#899277,#D07C1F,#C45AA8,#BFC67A,#464F8A,#01481E,#FEB39E,#BF31BA,Custom,FALSE,,0,
Pepsi Nova,#5A1A1A,#B76259,#946820,#E301B8,#EB3A46,#3C3BEE,#E00120,#A9B427,#E2EA7C,#6643BE,#FA1774,#F54B0A,Custom,FALSE,,0,
Cream Soda Mist,#6B7DD2,#4F31E0,#0D6229,#99DD81,#09329F,#7961D3,#690B20,#D55781,#B7FD74,#EE0DD0,#9BBD70,#8CB2CC,Custom,FALSE,,0,
Cola Inferno,#7EAC91,#2B0802,#752AA2,#BA4D0E,#0FE3AE,#B2AE7A,#0B2E73,#0B5009,#10D735,#490AC6,#F88ED7,#1A10A2,Custom,FALSE,,0,
Lemon Twist Pop,#A7C351,#4A9DD2,#20F065,#457349,#300C22,#24FEAF,#F9B3E4,#418DB1,#AB42BE,#AEBFFA,#ED5EFB,#D5E2E4,Custom,FALSE,,0,
Orange Splash,#0BB182,#282256,#A5018E,#898BF6,#0D76F5,#C934F7,#6EF64E,#E8BD18,#DF2ED2,#4126AF,#40509A,#44E571,Custom,FALSE,,0,
Berry Fizz Surge,#DBD6CA,#DDCBCF,#1004E8,#B7306B,#C36358,#0C045D,#1DDABD,#75202A,#7978DC,#B32DB4,#0CADC2,#60DCA8,Custom,FALSE,,0,
Grape Mist Pop,#47DC92,#6CB899,#604021,#4F6E45,#1EE580,#3A693B,#8DD2AA,#71C308,#6536FF,#303386,#4E2F46,#E404CB,Custom,FALSE,,0,
Halo 3 Spartan,#111111,#EFEFEF,#626262,#B0B0B0,#90A560,#31787E,#325992,#9B3332,#DB8B00,#F3BC2B,#5588DB,#553E8F,Custom,FALSE,,0,
Halo 3 Covenant,#111111,#EFEFEF,#513714,#E0BEA2,#31787E,#4ABBC1,#91EDEC,#553E8F,#9175E3,#C4B4FD,#325992,#830147,Custom,FALSE,,0,
Halo 3 LiveFire,#111111,#EFEFEF,#626262,#B0B0B0,#9B3332,#DB6766,#EE807F,#DB8B00,#F8AE58,#FECB9C,#F3BC2B,#CCAE2C,Custom,FALSE,,0,
Coca-Cola,#1A0000,#FFF0F0,#660000,#FFD6D6,#C40000,#FF1A1A,#990000,#FFFFFF,#FFCCCC,#660000,#C40000,#660000,Custom,FALSE,,0,
Pepsi,#000A1A,#F0F6FF,#001F3F,#D6E6FF,#0033A0,#005CBF,#001F7A,#E6002D,#FFFFFF,#7FDBFF,#0033A0,#001F7A,Custom,FALSE,,0,
Sprite,#002814,#F2FFF9,#004D2A,#D6FFEC,#00FF7F,#33CC99,#009966,#FFFFFF,#CCFFE6,#00CC66,#009966,#006644,Custom,FALSE,,0,
Dr Pepper,#1A000A,#FFF0F6,#4D001F,#FFD6E6,#7A0026,#B3003B,#4D001F,#C68642,#FFD1A1,#8B4513,#7A0026,#4D001F,Custom,FALSE,,0,
Fanta Orange,#2A1400,#FFF3E0,#663300,#FFE0B2,#FF6F00,#FF9100,#E65100,#FFD180,#FFF3E0,#FFAB40,#FF6F00,#E65100,Custom,FALSE,,0,
Autumn,#372319,#FFF8F0,#55412D,#FAEBD7,#CD5C5C,#FFA500,#DAA520,#8B4513,#FF8C00,#A0522D,#FF4500,#800000,Custom,FALSE,,0,
Earthy Autumn,#331900,#FFF7E6,#663300,#FFEBCD,#FF9933,#CC6600,#994C00,#FFCC99,#FF6666,#804000,#CC6600,#663300,Custom,FALSE,,0,
Autumn Harvest,#3C1E0A,#FFF8DC,#8B4513,#FFE4C4,#FF8C00,#DAA520,#CD5C5C,#B8860B,#F4A460,#FFDEAD,#DAA520,#CD5C5C,Custom,FALSE,,0,
Winter,#14283C,#F0FAFF,#2D465A,#DCEBF5,#87CEFA,#00BFFF,#6495ED,#B0E0E6,#4682B4,#008080,#0066CC,#003366,Custom,FALSE,,0,
Winter Frost,#003366,#F5FFFF,#191970,#E0FFFF,#B0E0E6,#87CEFA,#4682B4,#ADD8E6,#F0FFFF,#00BFFF,#00BFFF,#4682B4,Custom,FALSE,,0,
Winter Chill,#283C50,#F5FAFF,#506E82,#E6F0FA,#B4D2E6,#6496B4,#78B4C8,#A0C8DC,#C8DCE6,#64788C,#6496B4,#A0C8DC,Custom,FALSE,,0,
SpringBloom,#3CB371,#FFFFF0,#228B22,#FFFAFA,#FFB6C1,#DDA0DD,#90EE90,#FFEFD5,#FFE4E1,#B0E0E6,#3CB371,#90EE90,Custom,FALSE,,0,
Summer Beach,#141414,#FFFFF5,#2D2D2D,#FFFAE6,#FFCC00,#FF6600,#0099CC,#00CC99,#FF4040,#FFC0CB,#0066CC,#FF6600,Custom,FALSE,,0,
Summer Hot,#402000,#FFF4E6,#663300,#FFE8CC,#FF5722,#FFB347,#CC5500,#FF8C00,#FFCC00,#993300,#CC5500,#663300,Custom,FALSE,,0,
Summer Cool,#14213D,#E3F2FD,#0F192D,#C8E6FA,#2196F3,#90CAF9,#FF6F61,#FFB74D,#673AB7,#03A9F4,#2196F3,#673AB7,Custom,FALSE,,0,
Halloween,#2D1E0A,#FFF4D6,#5A2D00,#FFD278,#FF4500,#000000,#550055,#FF8C00,#FFA500,#800000,#FF4500,#800000,Custom,FALSE,,0,
Christmas,#003300,#FFFAF0,#228B22,#F0FFF0,#DC143C,#FFD700,#008000,#FF4500,#FFF8DC,#8B4513,#006400,#DC143C,Custom,FALSE,,0,
Valentines,#731428,#FFF0F5,#B4324B,#FFD2DC,#FF0066,#FF69B4,#FFB6C1,#C71585,#DC143C,#FF1493,#FF1493,#C71585,Custom,FALSE,,0,
Fourth Of July,#00205B,#FFFFFF,#B31942,#C8DCF0,#0039A6,#FF0000,#FFFFFF,#6495ED,#DC143C,#C0C0C0,#0000FF,#FF0000,Custom,FALSE,,0,
St Patricks Day,#003300,#F0FFF0,#228B22,#98FB98,#008000,#FFD700,#32CD32,#ADFF2F,#6B8E23,#FFDF00,#006400,#B8860B,Custom,FALSE,,0,
Easter,#7B68EE,#FFFAF0,#BA55D3,#FFF0F5,#FFB6C1,#B0E0E6,#FFEFD5,#98FB98,#FFDEAD,#FFDAB9,#7B68EE,#FFB6C1,Custom,FALSE,,0,
Cinco De Mayo,#660000,#FFFFF0,#006400,#F0FFF0,#DC143C,#32CD32,#FFD700,#FF8C00,#228B22,#FFFF66,#008000,#B22222,Custom,FALSE,,0,
Mardi Gras,#301934,#FFFAF0,#006400,#F0FFF0,#800080,#008000,#FFD700,#BA55D3,#228B22,#FFDF00,#800080,#008000,Custom,FALSE,,0,
